OS name,Processor Architecture,version,release time (YYYY-MM-DD),img name,MD5,SHA256,note
MLNX-OS,X86_64,3.8.2204,2020/1/2,image-X86_64-3.8.2204.img,1b8a7d65da88237ef0afafd0b4dc37b8,,
MLNX-OS,X86_64,3.9.0300,2020/3/3,image-X86_64-3.9.0300.img,459bda5239e0ee491515a169b2f76909,,
MLNX-OS,X86_64,3.9.0454,2020/4/2,image-X86_64-3.9.0454.img,cba4901469e71aa5fd22095145b3680a,3f717d9a936eee8297306313495d9cde0967135c41c1ef2b16b04f8f66ec61ba,
MLNX-OS,X86_64,3.9.0606,2020/5/4,image-X86_64-3.9.0606.img,4d764349fa134a3e4e2c34543d4baa44,f2dd48d9b1f480d0c926be7313f3700e287a9e5e0d5f50c78a16bd33045c35f1,
MLNX-OS,X86_64,3.9.0900,2020/6/7,image-X86_64-3.9.0900.img,55227aab9235217069829d456518d148,b273e98476adab994569aeafdd4dfa3432e81777587735d714686e615516b9d8,
MLNX-OS,X86_64,3.9.0914,2020/6/14,image-X86_64-version3.9.0914,055bb6ffa4a600e333989d1275c9ba73,77a0d40188807b8427b55aa5e1d813b7e0cedb77cc88fc16208fb1dc63f16550,
MLNX-OS,X86_64,3.9.1020,2020/8/11,image-X86_64-3.9.1020.img,7220be12900203427fa1c4b915156ac8,1ca8202533afd07f4b6a3d0f4959e9cfd41aa0648228dbf2c7ae083032379645,
MLNX-OS,X86_64,3.9.1302,2020/9/3,image-X86_64-3.9.1302.img,97f8ccd30cc9062c4c5ca74c5409c588,503e1acda8e86f4a693e5541c958948eb415fefe30bcbb5de543b917c326010e,
MLNX-OS,X86_64,3.9.1600,2020/10/1,image-X86_64-v3.9.1600.img,5db8f0ad3339db57c695667acc18ba2a,4843f12130f8e72ddaa0c585c326dd2bf90ad6640edea0592bde57a1ca68dc68,
MLNX-OS,X86_64,3.9.1906,2020/11/1,image-X86_64-3.9.1906.img,cc1bd2a9eb8cffb4e36acc1f2fac4c41,b803157332a0fba8e771fd353af037196fbc1b687b4085f83c4594ee35267c43,
MLNX-OS,X86_64,3.9.2002,2020/12/2,image-X86_64-3.9.2002.img,d56df66bfd3f5cdc04b9531a36bf1338,00029017a71771e67f6228363e75922b5a16c6e22139fad18f8a1bf1ad30b4c2,
MLNX-OS,X86_64,3.9.2110,2021/1/18,image-X86_64-3.9.2110.img,adc5ffc831da72f558bfd11a1a091e4a,a49d950abb9db6fa6e141a08c2b08fd50cacd542430a22fd1afc0b04384c90b8,
MLNX-OS,X86_64,3.9.2302,2021/3/1,image-X86_64-3.9.2302.img,b587ec718a9fdcfd88fb2c89b125c2d2,a6080f111b9e842607dd741c9c910f3398b4d083928b4ec13f3adecc0f578703,
MLNX-OS,X86_64,3.9.2400,2021/3/31,image-X86_64-3.9.2400.img,92f60990171451f12801733c8dffffa5,746d5505bf006f8dd89c29e10a52dd37f641c24186fcd3597576c197f508fa29,
MLNX-OS,X86_64,3.9.3124,2021/9/22,image-X86_64-3.9.3124.img,bd7d1daef850afae550acafd973379ce,9341028e411870e8020d50850f7fc9178274a4e84e8748027b1560fa10f5eb99,
MLNX-OS,X86_64,3.9.3302,2021/10/7,image-X86_64-3.9.3302.img,933d1f8210643cf52d8008c8b9ea0791,d7c26f5639cee2252321ec114b0cd1b78fc237c2ea265e6c31758b3df54e8f7f,
MLNX-OS,X86_64,3.10.1000,2021/12/1,image-X86_64-3.10.1000.img,370d4fca2a83d8cb864183251abe87a6,1292ecf590d5ee3e6a6db2524d625435c44d06a7b51b86d93413c781a8fef952,
MLNX-OS,X86_64,3.10.1016,2021/12/7,image-X86_64-3.10.1016.img,47011e73871d0c8ef059c0bba8db1576,2516afc64583d00aa33db5c1cb423918c131bd4bb24f53e2ec8e11e591edda43,
MLNX-OS,X86_64,3.10.1110,2022/1/9,image-X86_64-3.10.1110.img,3966218112bbe560d5404f7d3e26ef69,083d92defde3bb0249cc0ab2e81d9502dcb31342e4893efabc94986ca0ebd955,
MLNX-OS,X86_64,3.10.1202,2022/1/27,image-X86_64-3.10.1202.img,e9fcea8c459f948b84cd9abe06631b94,b55714279a89f8dd8cd541f90a768086f6811187c0b6662d8267e153663a84e8,
MLNX-OS,X86_64,3.10.1214,2022/3/2,image-X86_64-3.10.1214.img,5919b93f82872d676cad6d16ea406c20,ae15d40e0b9b75a5b71cf39ce6fd439d7bec36c49ebba7098a46807169021490,
MLNX-OS,X86_64,3.10.2000,2022/3/31,image-X86_64-3.10.2000.img,8f4b8c16e831f23485a48ff35d2572cd,61c95c267e35b487e850f25b3acc4caa4f662731fde2c96ee7e3d8ef6f59a3ac,
MLNX-OS,X86_64,3.10.2202,2022/5/26,image-X86_64-3.10.2202,9f28fc9f9f8d9ca5707359f0af888a8a,ab4580c5272ce0a93fbca2e3bc212bd27942cd37cfd6b5868871ae1ef1231875,
MLNX-OS,X86_64,3.10.3002,2022/8/2,image-X86_64-3.10.3002,de608f84673d418858c382d1924424f6,95245d87a4bca3e71a914bd79d5c2a2e0ac8e1f0c2cb52059fa02c5714be0202,
